str_yes|نعم.
str_umbar_faction_intro|^قراصنة أمبار هم أعداء غوندور الجنوبيون، أحفاد النومينوريين السود الذين يشنون غارات عديدة على سواحل غوندور. ^^يستخدم القراصنة كلاً من الماشة الخفيفة وسادة السيوف الأثقل بالإضافة إلى رماة الأقوال الطويلة المهرة. كونهم قوة بحرية في المقام الأول، فإنهم يفضلون الدروع التي تضحي بالصلابة لصالح القدرة على الحركة.
str_moria_faction_intro|^عفاريت موريا تحتل قاعات خازاد دوم، التي كانت ذات يوم مملكة أقزام عظيمة. ^^مثل العفاريت العاديين، تتكون قواتهم من مزيج من المشاة والرماة والرماة الماشة وراكبي الورغ، لكنهم بشكل عام لديهم معدات أفضل من العفاريت الأخرى، لأنهم يستخدمون الخردة المعدنية الموجودة في موريا. بعض المحظوظين القلائل بينهم لديهم أيضًا إمكانية الوصول إلى أجزاء من دروع وأسلحة الأقزام المنهوبة. أثبت زعماء عفاريت موريا أنهم أقوى وأشرس من أقربائهم، وهم مرعبون في المعركة.
str_guldur_faction_intro|^دول غولدور هي قلعة قديمة لساورون في ميركوود – في الواقع، هي السبب وراء تسمية "غرينوود العظيمة" بهذا الاسم الأكثر قتامة. ^^هنا، تتمركز وتستعد وحدة موالية لموردور، وتُرسل مجموعات مغيرين متكررة ضد الجان وكذلك ضد مجموعات الرجال الذين يمرون عبر الغابة. قوات دول غولدور هي في الغالب من العفاريت، مع تشكيلة مشابهة جدًا لتشكيلة موردور (مشاة، رماة ماشة، رماة، راكبو ورغ)، لكن مع تنوع أقل إلى حد ما.
str_gundabad_faction_intro|^كان غونداباد مكانًا مقدسًا للأقزام، ولكن في هذه الأيام أصبح معقلًا ضخمًا للعفاريت في الجبال الشمالية. ^^عفاريت غونداباد، على الرغم من أنهم أكثر همجية من رفاقهم من أماكن أخرى، يقاتلون كثيرًا مثل أي عفاريت أخرى، مع تشكيلة جيش مماثلة (مشاة، رماة، رماة ماشة، راكبو ورغ). معداتهم بدائية وأسلوب قتالهم همجي. راكبو الورغ لديهم لا يُضاهون في الصلابة والشراسة. بعض عفاريت غونداباد يمكنهم حتى جلد أنفسهم في نشوة قتال.
str_dunland_faction_intro|^الدونلنديون هم "رجال دونلاند المتوحشون"، أعداء روهيريم الذين طردوهم من وطنهم. ^^دونلاند قاحلة وفقيرة. يرتدي الدونلنديون دروعًا حقيقية قليلة جدًا – في الغالب فراء وجلود مدبوغة، مع بعض المعادن التي تدل على المكانة. كأسلحة، يستخدمون مطارد طويلة وفؤوس قرون الوعل، مع سيوف نادرة تعمل كرموز هيبة. خيولهم رقيقة وضعيفة، لا تقارن بخيول روهان بالتأكيد، على الرغم من أن الدونلنديين قد يركبونها أحيانًا إلى المعركة كماشة. في المعركة، يتقدم حاملو الرماح بشكل جماعي، مقدمين جدارًا خشنًا لكنه هائل من الرماح الطويلة الحادة. طور بعض الدونلنديين أيضًا صلة قرابة بمخلوقات البرية، وقد يطلقون قطعانًا من الذئاب المتوحشة على أعدائهم.
str_beorn_faction_intro|^البيورنينغز، أحفاد بيورن، هم شعب من أعالى وديان أندوين، بين ميركوود والجبال الضبابية. يسكنون في الغالب في الغابات، على الرغم من أنهم يحافظون على المخاضة القديمة نظيفة للتجارة، ويفرضون رسومًا على القوافل التجارية مقابل خدمتهم. ^^كحطابين، يستخدمون عصيًا غليظة وفؤوسًا حادة، لكنهم يرتدون القليل من الدروع. يقاتل مشاة البيورنينغز الأثقل بدروع أيضًا. حراس غابة البيورنينغز هم رماة ماهرون ويوفرون خط رماية قيمًا.
str_intro_faction_intro_strings_end|نهاية مقدمة الفصائل
str_gondor_extra_info|خير^^صعب^^غوندور (جنوب شرق)^^الأمير إمراهيل^^موردور، أمبار، كهاند، هاراد
str_dwarf_extra_info|خير^^سهل^^شمال روفانيون (شمال)^^الملك داين الثاني أيونفوت^^رون، غونداباد
str_rohan_extra_info|خير^^متوسط^^روهان (جنوب غرب)^^الملك ثيودن^^آيزنغارد، دونلاند
str_mordor_extra_info|ساورون^^سهل^^غوندور (جنوب شرق)^^غوثموغ^^غوندور
str_isengard_extra_info|سارومان^^سهل^^روهان (جنوب غرب)^^أوغلوك^^روهان
str_lorien_extra_info|خير^^سهل جدًا^^جنوب روفانيون (وسط)^^سيليبورن^^موريا، دول غولدور
str_imladris_extra_info|خير^^سهل جدًا^^جنوب روفانيون (وسط)^^اللورد إلروند^^موريا، دول غولدور
str_woodelf_extra_info|خير^^سهل جدًا^^جنوب روفانيون (وسط)^^الملك ثراندويل^^موريا، دول غولدور
str_dale_extra_info|خير^^متوسط^^شمال روفانيون (شمال)^^الملك براند^^رون، غونداباد
str_harad_extra_info|ساورون^^سهل^^غوندور (جنوب شرق)^^الزعيم أول-أولكاري^^غوندور
str_rhun_extra_info|ساورون^^صعب^^شمال روفانيون (شمال)^^جارل هيلكاروث^^ديل، الأقزام، ميركوود، البيورنينغز
str_khand_extra_info|ساورون^^سهل^^غوندور (جنوب شرق)^^شبح كروك ماهور^^غوندور
str_umbar_extra_info|ساورون^^سهل^^غوندور (جنوب شرق)^^الأميرال تولمير^^غوندور
str_moria_extra_info|سارومان^^صعب جدًا^^جنوب روفانيون (وسط)^^السيد بولغ الأصغر^^إملادريس، لوثلورين
str_guldur_extra_info|ساورون^^صعب جدًا^^جنوب روفانيون (وسط)^^السيد فوينور^^إملادريس، لوثلورين
str_gundabad_extra_info|سارومان^^صعب جدًا^^شمال روفانيون (شمال)^^السيد بورزا كراول^^ديل، الأقزام، ميركوود، البيورنينغز
str_dunland_extra_info|سارومان^^صعب^^روهان (جنوب غرب)^^الزعيم دايلاف الأسود^^روهان
str_beorn_extra_info|خير^^صعب^^شمال روفانيون (شمال)^^الزعيم غريمبيورن العجوز^^رون، غونداباد
str_intro_strings_extra_end|نهاية المقدمة الإضافية
str_gundabad_intro|لقد أتيت من أقصى الشمال، من أراضي أنغمار المفقودة منذ زمن طويل، بعد تلقيك أنباء الحرب القادمة. لسنوات لا تحصى، حطمت أنت وشعبك العديد من دروع الأقزام بفؤوسك ورماحك، وسحقت العديد من الأجساد المحطمة للرجال والجان تحت مخالب ورغزك الشرسة، وسلخت جلود شعب الدببة لترتديها كفراء. القاعات العظيمة لغونداباد في الجبال الضبابية هي لك الآن مرة أخرى، كما كانت في زمن بولغ وأزوغ. ^^لقي الكثير منكم حتفهم على مر السنين، الكثير منهم قتلوا في هذه القاعات والأنفاق ذاتها - لكن الكثيرين ما زالوا باقين. كان لكم متعة عظيمة مع الحفارين الجشعين الصغار وأصدقائهم، في الماضي - وستكون لكم متعة أعظم الآن، عندما تزحفون عليهم وتأخذون كل شيء لأنفسكم! ^^ثأرًا لبولغ، لأزوغ، للعفريت العظيم - ثأرًا لعفاريت غونداباد!
str_show_keybinds|روابط المفاتيح الخاصة: ^^ مفاتيح التشكيل:^ الرتب - J ^ جدار الدرع - K ^ الإسفين - L ^ المربع - ^ مسح التشكيلات - U ^^ التنقل بين استخدام الأسلحة - O ^^ التنقل بين نوع الكاميرا - CTRL+END ^^ التجمع - V ^^ استدعاء الحصان - M ^^ عرض الأوامر / الخريطة المصغرة - مسافة للخلف
str_tactical_controls|استخدم أرقام لوحة المفاتيح لتحديد فرقة. اضغط 0 لتحديد قوتك بأكملها.^^استخدم F1-F4 لإصدار الأوامر للفرق المحددة. اضغط مع الاستمرار على المفتاح F1 لوضع الفرق المحددة. يمكن للمرء استهداف فرقة معادية من خلال هذه الآلية.^^غالبًا ما يؤدي الضغط على مفتاح ENTER إلى تشغيل كاميرا إستراتيجية علوية.^^غالبًا ما يؤدي الضغط على مفتاح BACKSPACE إلى تشغيل شاشة قيادة المعركة مع 'رادار'.
str_division_placement|عند تحديد فرقة واحدة، يتم وضع مركز صفها الأمامي في المكان المشار إليه.^^عند تحديد فرق متعددة، يتم فصلها وانتشارها كما لو كان اللاعب واقفًا في المكان المشار إليه.^^يمكن للمرء حفظ وضع الفرق المحددة بالنسبة للاعب بالضغط على F2، F7. الافتراضي هو المشاة إلى اليسار، والفرسان إلى اليمين، والمشاة الرامية إلى الأمام.
str_formations|التشكيلات المعقدة في قائمة المعركة هي:^^- الرتب مع أفضل القوات في المقدمة^- جدار الدرع، رتب بدروع في الأمام وأسلحة أطول في الخلف^- الإسفين مع أفضل القوات في المقدمة^- المربع بدون ترتيب معين^- بدون تشكيل^^حتى في الحالة الأخيرة، يمكن للاعب تكوين تشكيلات تصل إلى أربعة خطوط بإصدار أمر التمركز بالقرب عدة مرات.
str_npc18_intro|أيها العظيم، انتظر لحظة! أود التحدث معك!
str_npc19_intro|انتظر لحظة أيها القائد. أود أن أتبادل معك الكلمات. لا، لا، لست بحاجة للركوع، حتى وإن كنت تتحدث إلى شخص من دم ملكي.
str_npc20_intro|انتظر. أنت. لقد رأيتك. أعرف وجهك. حلم راودني، عنك - لكن لماذا تكون أنت؟ الآن بعد أن أراك بعيني، أنت لا تكاد تكون أكثر من سناغا وضيع!
str_npc21_intro|مرحبًا بك في ميدوسيلد أيها المحارب!
str_npc22_intro|مرحبًا {playername}. ماي غوفانين!
str_npc23_intro|اتركني وشأني أيها الغريب، لا أرغب في التحدث إليك.
str_npc24_intro|كيلي، ابن دوالين، في خدمتك!
str_npc25_intro|مرحبًا بك في ديل أيها المسافر! كيف يمكنني مساعدتك؟
str_npc26_intro|صهس! إذا أشرت حتى إلى الحراس، سأقطع حوصلتك وأطعمها للورغز!
str_npc27_intro|أنت!
str_npc18_intro_response_1|عبد في الأغلال، محكوم عليه بالموت، يريد التحدث معي؟ ماذا لديك لتقول؟
str_npc19_intro_response_1|دم ملكي تقول؟ هاه! ما الذي يجعلك تعتقد أن لديك قطرة منه؟
str_npc20_intro_response_1|انظر هنا، ماذا تقصدين بهذا أيتها الساحرة؟ من أنت؟
str_npc21_intro_response_1|تحياتي يا سيدتي. مع من أتشرف بالتحدث؟
str_npc22_intro_response_1|مرحبًا أيها اللورد الجان! إنه لشرف عظيم أن ألتقي بك.
str_npc23_intro_response_1|هل هكذا يحيي جان الغابة ضيوفهم؟
str_npc24_intro_response_1|{playername} في خدمتك. كيف حال شعب دورين؟
str_npc25_intro_response_1|تحياتي. كنت أتساءل عما إذا كان هناك أي متطوعين هنا للانضمام إلينا في رحلاتنا.
str_npc26_intro_response_1|احبس تهديداتك أيها الأوروك، قبل أن تصل الأمور إلى اشتباك - أنا لست وشاية.
str_npc27_intro_response_1|من أنت؟
str_npc18_intro_response_2|لن أضيع الكلام على عبد محكوم عليه بالموت.
str_npc19_intro_response_2|الوقح الحقير. ابتعد عن طريقي.
str_npc20_intro_response_2|ليس لدي وقت لثرثرتك المجنونة أيتها الساحرة.
str_npc21_intro_response_2|اعذرني، لدي أمور عاجلة في مكان آخر.
str_npc22_intro_response_2|اعذرني، لدي أشخاص أقل أهمية لأتحدث معهم.
str_npc23_intro_response_2|الشعور متبادل. وداعًا.
str_npc24_intro_response_2|لا عليك، أحتاج بعض الهواء النقي.
str_npc25_intro_response_2|لا عليك، نحن فقط نتنزه.
str_npc26_intro_response_2|سأذهب في طريقي إذن، وإلا ستبدأ ذراعي التي تحمل السيف بالحكة.
str_npc27_intro_response_2|[تجاهل وغادر]
str_npc18_backstory_a|أنا لست مجرد عبد! أنا محاربة آخذة للرؤوس، غُبنت عن مكانتي المستحقة بين الرتب! ترى أنني امرأة، لكنني أقوى وأسرع من كثيرين غيري، ولقد تغلبت على رجال أكثر مما يمكنني عده. سيد الحفرة - لعنة الله عليه! كلفني باختبار، أن أقاتل ثلاثة رجال في وقت واحد. ثلاثة!
str_npc19_backstory_a|قطرة صغيرة، بالتأكيد، لكن أمي أخبرتني بكل شيء عن نسبي. أنا هيدريك، سليل مباشر للملك فينغيل، أقرب إلى عرش روهان ودونلاند من أي من زعمائنا! شعري داكن، لكني أتخيل أن لدي أكثر من خصلة صفراء في مكان ما.
str_npc20_backstory_a|في حلمي، كانت هناك شجرة. شجرة، كلها بيضاء. وأنت، كنت هناك، واقفًا بجانبها. وضعت يدك على جذعها، وإذا بها تذبل حتى جذورها. والظل في السماء امتد، وأصبح الهواء ثقيلاً. سمعت ضحكة حينها، من بعيد في الشرق.
str_npc21_backstory_a|اسمي غالميني، وقد جعلت من واجبي معرفة اسمك، {playername}. دعني أشرح لماذا.
str_npc22_backstory_a|ربما سمعت حكايات عن مآثري في معارك الماضي التي نسيها البشر الفانون. في ملء الزمن، هذه الحرب هي وقت آخر من الخطر للألدار، لكنها ستكون الحرب الأخيرة.
str_npc23_backstory_a|اعذر وقاحتي أيها الغريب، لكن ليس لدينا العديد من الزوار هنا وأولئك الذين يأتون لا يبدون موثوقين للغاية. منذ أسبوع فقط، ظهر هذا القزم و... لا تهتم. اسمي لوفانا، من جان الغابة في ميركوود.
str_npc24_backstory_a|من الأدب منك أن تسأل، {playername}. نحن نصد الهجمات من رون وعفاريت غونداباد، لكن حتى الآن لا شيء لا نستطيع التعامل معه نحن وحلفاؤنا في ديل.
str_npc25_backstory_a|أنا متأكد من أنه يمكنك العثور على بعض المتطوعين الجيدين إذا تحدثت إلى أمين العتاد في الثكنات. أما بالنسبة لي، فأنا مجرد معالج وأعشابي بمهارات متواضعة.
str_npc26_backstory_a|جيد لك! يدعونني غولم. لقد أخرجت أحشاء رقيبي والآن تطاردني سناغاته.^الخنزير الصغير عديم القيمة كان يستحق ذلك! ذات مرة، تعرضنا لكمين من قبل دورية من ذوي الرؤوس القش... وفقد أعصابه. 'تراجع' يصرخ، ثم يهرب. فقط غولم وقلة آخرون صمدوا وكسروا هجوم فرسانهم. ثم سحقنا ذوي الشعر الأصفر حتى أصبحوا معجون (هيه هيه هيه). لكن لولانا نحن الأقوياء، لكان الكل طعامًا للديدان!
str_npc27_backstory_a|أنا دورغاش!
str_npc18_backstory_b|لقد انتصرت! هزمتهم! لكن... أحدهم كان ضعيفًا جدًا لدرجة أنه مات من الضربات التي وجهتها له. لو كان مجرد عبد عادي، لكانت تلك نهاية الأمر. لكن لا. كان أحد أبناء اللورد العظيم لورمساكون الكثيرين، من زوجة أقل شأناً.
str_npc19_backstory_b|حسنًا، لن تجد أيًا من روهان أو دونلاند من سيصدق دعواي، لكنها صحيحة مع ذلك. كانت جدتي راعية غنم، تعيش في التلال، وفي أحد الأيام صادف أن الملك العجوز فينغيل، الجد الجشع الممسك لثيودن المدعي، رآها على ضفاف نهر إيسن. أعجبته، وكانت أمي طفلته.
str_npc20_backstory_b|ألا تعرف أمام من تقف؟ أيها الأحمق الجاهل. اعلم أنني زيغورفيل، من أكالابيث القديمة - ولكن على الأرجح أنك لا تعرف شيئًا عن ذلك الاسم! اعلم أيضًا، أنني أسعى لتصحيح مظالم قديمة، المظالم التي حلت بي وبشعبي بسبب حقد الفالار، الذين أغرقوا تسليحنا العظيم ووطننا. آه، آر-فارازون، العظيم المجيد! هل ستُنسى رؤيتك إلى الأبد؟ لا، ما دامت زيغورفيل حية ولديها يدان تقومان بعملها!
str_npc21_backstory_b|لقد ولدت في عائلة نبيلة وأنا أخدم السيدة إيوين كوصيفة شرف منذ أن كنا فتاتين صغيرتين. كان آباؤنا حكماء بما يكفي للسماح لنا بالتدرب جنبًا إلى جنب مع إخوتنا في أمور القتال، لنصبح درعيات روهان.
str_npc22_backstory_b|أرسلني اللورد إلروند كمبعوث إلى اللورد سيليبورن، لتقديم المساعدة والمشورة حسب الحاجة في الحرب في هذا الجزء من روفانيون.
str_npc23_backstory_b|أحب السير في الممرات الخفية في غابتنا الجميلة. أحيانًا أتحرك بهدوء بين الأشجار وألاحظ عادات العديد من حيوانات الغابة. غناء طائر نادر، تعشيش خنزير بري هي بنفس جمال تصادم الأسلحة والجدران العظيمة بالنسبة للإيداين.
str_npc24_backstory_b|لقد ساعدت في تحسين دفاعات إريبور وتدريب بعض الشباب من شعب الأقزام، تحت إشراف والدي الجليل دوالين، كما هي عادتنا.
str_npc25_backstory_b|لقد عالجت ملكي براند من الإمساك، وهو مرض شائع يصيب الرجال الذين يذهبون إلى الحرب. مغلي خفيف من الشيح، وترتاح الأمعاء والعقل.
str_npc26_backstory_b|لذا قلت لنفسي، 'غولم، هل تريد أن تنتهي كجيفة؟' وأجبت، 'لا'.^في المعركة التالية، تراجعت متظاهرًا بأني مصاب. ثم، دون أن يراني أحد، انقضت على رقيبي! شطرته إلى نصفين تقريبًا، غار! ثم قطعت رفيقه السناغا جيدًا^^...اتضح أن ذلك الزاحف الدموي نجا بطريقة ما، وبدأ يثرثر بلسانه عن كل هذا. في المرة القادمة سأتأكد من قطع رأسه، غار...
str_npc27_backstory_b|أنا راكب ذئب من آيزنغارد ومتعقب.
str_npc18_backstory_c|وها أنا ذا، أُلعن وأُبصق علي، محكوم علي بالموت لأنني كنت أقوى من الكلاب التي تسخر مني! أعتقني أيها العظيم. أعتقني، تكلم عني - وقوتي لك. سيفي لك. حياتي لك!
str_npc19_backstory_c|بطبيعة الحال، يريد الزعيم دايلاف والباقون حرماني من أي فرصة للمجد على الإطلاق، لأنه إذا قمت بأعمال عظيمة في المعركة، فسيعطي ذلك أجنحة لدعواي. سيتجمع الرجال تحت رايتي إذن! شهرتك تسبقك أيها القائد. إذا سمحت لي بالخدمة تحت رايتك، يمكنني أن أقوم بهذه الأعمال العظيمة من أجلك.
str_npc20_backstory_c|يا أكالابيث، أين أنت الآن؟ تلاشت، كلها تلاشت... حيث كان هناك نور ذات يوم، مجد أمتنا الذي كان أعظم من أي أمة أخرى، لم يبق الآن سوى الظل. بيتي الجميل يعرف الآن صمت البحر الأبدي. لكن قلبي ما زال مليئًا بالنار، والوحوش المظلمة تجري وحشية فيه. أعرف فنونًا قوية أنت وجنسك لم تتخيلوها أبدًا. أنصت إلي الآن! هل ستتوسل طلبًا لمساعدتي، كما ينبغي، أم ستذهب من هنا متسللاً، كالدودة؟ اختر بسرعة!
str_npc21_backstory_c|قد تعلم أن النساء، مهما كانت مهارتهن، غير مسموح لهن بالركوب مع الإيوريداس. ومع ذلك، لا أعتقد أن الانتظار بجانب المدفأة لعودة المحاربين هو قدري. لن أجلس مكتوفة الأيدي حتى يضيع كل فرصة للأعمال العظيمة في هذه الحرب، وسأرحب بمساعدتك أيها المحارب.
str_npc22_backstory_c|ومع ذلك، إذا كان أعداء لوثلورين في حالة فرار، فقد أفكر في الانضمام إليك لفترة من الوقت، {playername}. أشعر أن مصائرنا في هذه الحرب متشابكة.
str_npc23_backstory_c|لن تفهم ذلك، على ما أعتقد، إذ أراك مستعدًا للحرب. لكن لا بد أنك سافرت بعيدًا وواسعًا - هل رأيت الغابات العظيمة الأخرى؟ هل يمكنك أخذي إلى هناك؟
str_npc24_backstory_c|هناك هدوء في القتال لا يليق بمحارب قزم من نسبي ومزاجي. أعتقد أنك ترى المزيد من الأثناء في رحلاتك وقضيتك صديقة للأقزام؟ أعلم أن قزمًا مقاتلاً سيحسن فرصك في البقاء بشكل كبير.
str_npc25_backstory_c|سمعت أن هناك قتالًا كثيرًا في أماكن أخرى وأراضينا محمية ولله الحمد في الوقت الحالي. من الخدوش على درعك، لا بد أنك تعرضت للخطر عدة مرات. ربما يمكن استخدام مهاراتي المتواضعة بشكل أفضل مع شركتك، من أجل الصالح العام للجميع.
str_npc26_backstory_c|أنا أوروك هاي مقاتل، وبرزيركر! ما هناك لتعرفه عن قتل الرجال، أنا أعرفه. كنت في خدمة اليد البيضاء، لكن اليد الآن ستلقي بي على الأرجح في حفر النار.^^سآتي معك وأصطاد الرجال في الجنوب، بينما يصرخ سناغات آيزنغارد بأسنانهم.
str_npc27_backstory_c|ربما يمكنك أن تكون سيدي التالي.
str_npc18_backstory_later|لقد كنت محظوظة، على ما أعتقد، أن اللورد العظيم لورمساكون كان مشغولاً في مكان آخر. تركني مسؤولوه هنا لأتعفن. لكن قدري ليس الموت كسجينة! هل أتيت لتمنحني موتي المستحق في ساحة المعركة؟
str_npc19_backstory_later|مرحبًا هناك! لقد عدت، كما كنت أعلم أنك ستفعل. زعمائي الغيورون يبقون يدي عاطلة. دعنا نتحدث أيها القائد! أود أن أتبعك، وأقاتل في صفوفك لأربح لنفسي الشهرة.
str_npc20_backstory_later|لا تزال تزعج أحلامي! هل لن تمنحني السلام؟ عيني الحالمة ترى بعيدًا وعميقًا. هنا في دول غولدور لا تزال لدي رؤى عن أعمالك. أقول هذا: لو كنت حكيمًا، لطلبت مساعدتي مرة أخرى قبل الآن.
str_npc21_backstory_later|يعود المزيد من الفرسان بأجسادهم محطمة، وأحاول تقديم المساعدة حيثما أستطيع. لكنني ما زلت أشعر بأنني محاصرة في قفص.
str_npc22_backstory_later|هل أعادت النظر؟ الوقت ينفد بالنسبة للألدار.
str_npc23_backstory_later|كنت أرصد عشًا للعناكب العملاقة لبضعة أيام. مخلوقات قبيحة، تبدو في البداية، لكنها تبقى المتسللين بعيدًا. هل أتيت لتطلب مني السفر معك؟
str_npc24_backstory_later|بناء الجدران الدفاعية يليق بأي قزم. لكنني بحاجة لاستخدام فأسي أيضًا. قريبًا. دعني آتي معك.
str_npc25_backstory_later|لقد أجريت مكالمة أخرى لملكنا، هذه المرة للقيء. آمل أن تصميمه على الاشتباك مع العدو لا علاقة له بحالته. هل تعاني من الإمساك والقيء أيضًا؟
str_npc26_backstory_later|ماذا تعتقد أنني أفعل؟ غولم يجلس هنا وينتظر بعض السناغا المتسلل ليطعنه في الظلام. خذني معك - سأخدم جيدًا.
str_npc27_backstory_later|هل أعادت النظر؟ سأخدم جيدًا.
str_npc18_backstory_response_1|إذا كنت حقًا شرسة كما تبدين، ربما يمكنك القتال من أجلي. بعد أن نطعمك قليلاً بالطبع.
str_npc19_backstory_response_1|حسنًا جدًا. طالما يمكنك القتال في خط المعركة، يمكنك أن تكون مفيدًا أيها الدونلندي.
str_npc20_backstory_response_1|طريقة غريبة لطلب الانضمام إلي أيتها الساحرة. لكن حسنًا جدًا، يمكنك المجيء.
str_npc21_backstory_response_1|سأرحب بمساعدة درعية روهان، إذا عرضت.
str_npc22_backstory_response_1|قد يكون من الوقاحة أن أسأل، لكن شركتي يمكنها الاستفادة من مهارتك في المعارك القادمة.
str_npc23_backstory_response_1|نحن نسافر حول العالم، ولكن للدفاع عن كل ما هو عادل، نخوض المعركة ضد العدو.
str_npc24_backstory_response_1|بالفعل، سيكون محارب قزم موضع ترحيب في شركتي.
str_npc25_backstory_response_1|يمكننا الاستفادة من معالج وأعشابي.
str_npc26_backstory_response_1|أعتقد أنه يمكننا الاستفادة بشكل جيد من برزيركر.
str_npc27_backstory_response_1|ستفي بالغرض.
str_npc18_backstory_response_2|باه! كلب حفرة قاتل ليس جديرًا بأن يكون رفيقًا لي.
str_npc19_backstory_response_2|تتحدث عن أعمال عظيمة. اذهب وافعل بعضًا منها بنفسك، قبل أن تقترب مني مرة أخرى!
str_npc20_backstory_response_2|باه! أعتقد أن نباحك أسوأ بكثير من عضتك. لدي عمل لأقوم به!
str_npc21_backstory_response_2|أنا آسف يا سيدتي، لا أستطيع فعل أي شيء.
str_npc22_backstory_response_2|سأعود عندما تكون لوثلورين في خطر أقل.
str_npc23_backstory_response_2|لا، آسف. لا يمكننا اصطحاب التابعين.
str_npc24_backstory_response_2|لا، آسف. نحن بخير بمفردنا.
str_npc25_backstory_response_2|لا، آسف. نحن نزور المعالجين فقط عندما نحتاجهم.
str_npc26_backstory_response_2|باه. لا أثق بالخونة.
str_npc27_backstory_response_2|لا أحتاجك أيها العبد.
str_npc18_signup|أوه، لأغرس أسناني في اللحم مرة أخرى! سترى جوهري الحقيقي قريبًا بما فيه الكفاية، بمجرد أن تتحرر يداي وقدماي، ويكون لدي طعام في بطني!
str_npc19_signup|نعم، يمكنك مناداتي بذلك في الوقت الحالي، فأنا لست خجولاً من دمي الدونلندي. لقد عانى شعبي كثيرًا تحت حكم الملوك الطغاة في روهان، وأشعر بقرابة لا بأس بها معهم. سأساعدك في هذه الحرب، وفي كل جهودك. لكن بالمقابل أيها القائد، يجب أن تساعدني في الضغط على دعواي عندما يحين الوقت.
str_npc20_signup|سأتغاضى عن غطرستك لبعض الوقت، لكن اعلم أننا سنتحدث يومًا ما. ربما بحلول ذلك الوقت، سنكون واقفين معًا أمام الظلام، الذي عرفته ذات يوم باسم مختلف كثيرًا، وعندها سنرى من لديه أذنه. ربما عندها سأعلمك الأخلاق.
str_npc21_signup|إنه عرض بكل سرور، ويمكنك الترحيب بي في شركتك أيها القائد.
str_npc22_signup|أرى. أعترف أنني سمعت عنك وعن مآثرك.
str_npc23_signup|أنا لا أحب العنف وأسلحة الحرب، لكنني أعرف كيف أدافع عن نفسي في حالات الطوارئ.
str_npc24_signup|أنا ماهر بالفأس، سواء في الاستخدام أو الرمي. يمكنني أيضًا إبقاء فواتيرك منخفضة إذا سمحت لي بالتحدث إلى التجار. ولدي عين للعثور على أفضل قطع الغنائم من الأعداء الساقطين في ساحة المعركة.
str_npc25_signup|حقًا؟ حسنًا، أنا فقط بحاجة لجمع أعشابي ووصفاتي.
str_npc26_signup|أوروك مقاتل يساوي أكثر من كل سناغاتك. أوروك مقاتل لا يهرب أبدًا من المعركة.
str_npc27_signup|حقًا؟ ستفعل جيدًا في تجنيدي.
str_npc18_signup_2|أخبرتني أمي ذات مرة، أنني ولدت لأقطع العديد من الأعداء. من أجلك، سأقتل العديد من الضعفاء الناعمين من الغرب. فقط ضع نصلًا جيدًا في يدي، وسأقوم بالباقي!
str_npc19_signup_2|أنا أقاتل كما يقاتل شعبي، كالذئاب في الليل - قد أرمي رمحًا، أو أدفع مطردًا في صدر فارس يندفع. أقطع الأطراف بالفأس أو السيف. معك، سأتحدث بصراحة: لا يهمني إذا كنت تخدم العين أو اليد البيضاء أكثر. كل شيء سواء بالنسبة لي، طالما أستطيع الجلوس على عرشي الشرعي في القاعة الذهبية.
str_npc20_signup_2|لكن في الوقت الحالي، دع معرفتي وحرفتي المبنية على سنوات طويلة تُسخر في خدمتك. اعلم هذا: بمساعدة زيغورفيل، أنت كتنين أعطي أجنحة في حفرة أوتومنو. سأفعل أشياء عظيمة من أجلك ومن أجل هدفك، على الرغم من أنك لا تستوعبها!
str_npc21_signup_2|لقد اصطدت الطرائد عدة مرات بالأقواس ورمي الرماح. سأصطاد العفريت تحت قيادتك. ولدي بعض المهارة في الشفاء أنا متأكدة من أنها ستكون مطلوبة.
str_npc22_signup_2|ربما من خلال الانضمام إلى شركتك والضرب بقوة حيث لا يتوقعونني، سيختل توازن العدو. سآتي.
str_npc23_signup_2|ربما يمكنني تعليمك التحرك بشكل أسرع وإحداث ضوضاء أقل. لنذهب.
str_npc24_signup_2|إذا استطعت إبقاء طوال القامة في شركتك على خط، وخاصة الجان المتسللين، سأنضم إليك بكل سرور.
str_npc25_signup_2|يجب أن أحذرك رغم ذلك، أنا عديمة الفائدة إلى حد ما في المعركة. لكنني متأكدة من أنك قادر على الحفاظ على سلامة امرأة في عمري.
str_npc26_signup_2|لكن يجب أن تقرر بسرعة، الحراس هنا أصبحوا مشبوهين.
str_npc27_signup_2|لن تندم على اصطحابي.
str_npc18_signup_response_1|تعجبني روحك. حسنًا جدًا، سأرسل كلمة إلى لورمساكون نيابة عنك.
str_npc19_signup_response_1|حسنًا إذن، أيها 'الأمير'، احمل أسلحتك. أنت تقاتل من أجلي الآن.
str_npc20_signup_response_1|آمل، من أجلك، أن كلماتك ليست تفاخرًا فارغًا. لا تخيبي أملي يا زيغورفيل.
str_npc21_signup_response_1|مثير للإعجاب. نحن مستعدون للمغادرة، وقتما تشائين يا سيدتي.
str_npc22_signup_response_1|سيكون لنا الشرف بصحبة لورد الجان.
str_npc23_signup_response_1|حسنًا جدًا. آمل ألا تهربي من أول عفريت نراه.
str_npc24_signup_response_1|حسنًا جدًا أيها السيد قزم، مرحب بك للانضمام إلينا.
